timestamp,equipment,process,electricity_kwh,fuel_type,fuel_quantity,production_volume,operating_hours,shift,temperature,pressure
2026-08-28 00:00:00,Catalytic Steam Reforming Furnace,Reforming & Cracking,43.42,natural_gas,201.58,1137.1,1.0,Shift C (Night),831.3,24.41
2026-08-28 00:00:00,Fractionation Distillation Column Reboiler,Fractionation & Separation,57.66,natural_gas,124.26,894.7,1.0,Shift C (Night),207.5,4.52
2026-08-28 00:00:00,High-Pressure Exothermic Reactor Vessel,Chemical Synthesis,1.7,none,0.0,0.0,0.0,Shift C (Night),30.6,0.0
2026-08-28 00:00:00,Multistage Boiler Feedwater Injection Pump,High-Pressure Transport,53.95,none,0.0,0.0,1.0,Shift C (Night),59.2,44.63
2026-08-28 00:00:00,Waste Heat Recovery Steam Generation Boiler,Steam Utility,21.51,natural_gas,83.1,0.0,1.0,Shift C (Night),188.0,10.26
2026-08-28 00:00:00,Reciprocating Process Gas Compressor,Gas Compression Utility,38.88,none,0.0,0.0,0.0,Shift C (Night),44.0,25.5
2026-08-28 00:00:00,Closed-Loop Brine Refrigeration Chiller,Thermal Cooling Utility,63.65,none,0.0,0.0,1.0,Shift C (Night),-14.9,8.11
2026-08-28 01:00:00,Catalytic Steam Reforming Furnace,Reforming & Cracking,40.39,natural_gas,187.52,1057.8,1.0,Shift C (Night),813.5,25.42
2026-08-28 01:00:00,Fractionation Distillation Column Reboiler,Fractionation & Separation,59.91,natural_gas,129.11,929.6,1.0,Shift C (Night),214.1,4.5
2026-08-28 01:00:00,High-Pressure Exothermic Reactor Vessel,Chemical Synthesis,1.55,none,0.0,0.0,0.0,Shift C (Night),29.6,0.0
2026-08-28 01:00:00,Multistage Boiler Feedwater Injection Pump,High-Pressure Transport,52.69,none,0.0,0.0,1.0,Shift C (Night),59.0,44.41
2026-08-28 01:00:00,Waste Heat Recovery Steam Generation Boiler,Steam Utility,21.77,natural_gas,84.1,0.0,1.0,Shift C (Night),182.1,10.08
2026-08-28 01:00:00,Reciprocating Process Gas Compressor,Gas Compression Utility,36.38,none,0.0,0.0,0.0,Shift C (Night),44.0,25.5
2026-08-28 01:00:00,Closed-Loop Brine Refrigeration Chiller,Thermal Cooling Utility,63.98,none,0.0,0.0,1.0,Shift C (Night),-15.3,8.15
2026-08-28 02:00:00,Catalytic Steam Reforming Furnace,Reforming & Cracking,40.51,natural_gas,188.07,1060.9,1.0,Shift C (Night),812.9,24.8
2026-08-28 02:00:00,Fractionation Distillation Column Reboiler,Fractionation & Separation,58.26,natural_gas,125.56,904.0,1.0,Shift C (Night),212.4,4.46
2026-08-28 02:00:00,High-Pressure Exothermic Reactor Vessel,Chemical Synthesis,1.47,none,0.0,0.0,0.0,Shift C (Night),29.3,0.0
2026-08-28 02:00:00,Multistage Boiler Feedwater Injection Pump,High-Pressure Transport,55.43,none,0.0,0.0,1.0,Shift C (Night),61.0,45.81
2026-08-28 02:00:00,Waste Heat Recovery Steam Generation Boiler,Steam Utility,22.81,natural_gas,88.12,0.0,1.0,Shift C (Night),184.4,10.03
2026-08-28 02:00:00,Reciprocating Process Gas Compressor,Gas Compression Utility,39.85,none,0.0,0.0,0.0,Shift C (Night),44.0,25.5
2026-08-28 02:00:00,Closed-Loop Brine Refrigeration Chiller,Thermal Cooling Utility,62.54,none,0.0,0.0,1.0,Shift C (Night),-14.9,8.23
2026-08-28 03:00:00,Catalytic Steam Reforming Furnace,Reforming & Cracking,42.53,natural_gas,197.47,1113.9,1.0,Shift C (Night),826.5,25.54
2026-08-28 03:00:00,Fractionation Distillation Column Reboiler,Fractionation & Separation,57.6,natural_gas,124.15,893.9,1.0,Shift C (Night),210.1,4.52
2026-08-28 03:00:00,High-Pressure Exothermic Reactor Vessel,Chemical Synthesis,1.7,none,0.0,0.0,0.0,Shift C (Night),29.4,0.0
2026-08-28 03:00:00,Multistage Boiler Feedwater Injection Pump,High-Pressure Transport,51.87,none,0.0,0.0,1.0,Shift C (Night),61.2,45.66
2026-08-28 03:00:00,Waste Heat Recovery Steam Generation Boiler,Steam Utility,21.28,natural_gas,82.22,0.0,1.0,Shift C (Night),185.0,10.16
2026-08-28 03:00:00,Reciprocating Process Gas Compressor,Gas Compression Utility,35.25,none,0.0,0.0,0.0,Shift C (Night),44.0,25.5
2026-08-28 03:00:00,Closed-Loop Brine Refrigeration Chiller,Thermal Cooling Utility,62.47,none,0.0,0.0,1.0,Shift C (Night),-15.0,7.94
2026-08-28 04:00:00,Catalytic Steam Reforming Furnace,Reforming & Cracking,41.43,natural_gas,192.34,1085.0,1.0,Shift C (Night),819.1,24.73
2026-08-28 04:00:00,Fractionation Distillation Column Reboiler,Fractionation & Separation,56.42,natural_gas,121.59,875.4,1.0,Shift C (Night),211.1,4.52
2026-08-28 04:00:00,High-Pressure Exothermic Reactor Vessel,Chemical Synthesis,1.42,none,0.0,0.0,0.0,Shift C (Night),28.9,0.0
2026-08-28 04:00:00,Multistage Boiler Feedwater Injection Pump,High-Pressure Transport,54.24,none,0.0,0.0,1.0,Shift C (Night),60.9,45.75
2026-08-28 04:00:00,Waste Heat Recovery Steam Generation Boiler,Steam Utility,22.2,natural_gas,85.79,0.0,1.0,Shift C (Night),188.4,10.22
2026-08-28 04:00:00,Reciprocating Process Gas Compressor,Gas Compression Utility,38.34,none,0.0,0.0,0.0,Shift C (Night),44.0,25.5
2026-08-28 04:00:00,Closed-Loop Brine Refrigeration Chiller,Thermal Cooling Utility,63.59,none,0.0,0.0,1.0,Shift C (Night),-15.0,8.22
2026-08-28 05:00:00,Catalytic Steam Reforming Furnace,Reforming & Cracking,43.29,natural_gas,200.98,1133.7,1.0,Shift C (Night),835.9,25.07
2026-08-28 05:00:00,Fractionation Distillation Column Reboiler,Fractionation & Separation,58.68,natural_gas,126.46,910.5,1.0,Shift C (Night),206.0,4.39
2026-08-28 05:00:00,High-Pressure Exothermic Reactor Vessel,Chemical Synthesis,1.12,none,0.0,0.0,0.0,Shift C (Night),31.2,0.0
2026-08-28 05:00:00,Multistage Boiler Feedwater Injection Pump,High-Pressure Transport,54.22,none,0.0,0.0,1.0,Shift C (Night),60.2,43.9
2026-08-28 05:00:00,Waste Heat Recovery Steam Generation Boiler,Steam Utility,21.77,natural_gas,84.11,0.0,1.0,Shift C (Night),182.8,9.73
2026-08-28 05:00:00,Reciprocating Process Gas Compressor,Gas Compression Utility,37.03,none,0.0,0.0,0.0,Shift C (Night),44.0,25.5
2026-08-28 05:00:00,Closed-Loop Brine Refrigeration Chiller,Thermal Cooling Utility,61.69,none,0.0,0.0,1.0,Shift C (Night),-15.1,7.85
2026-08-28 06:00:00,Catalytic Steam Reforming Furnace,Reforming & Cracking,42.6,natural_gas,197.77,1115.7,1.0,Shift A (Morning),811.4,24.58
2026-08-28 06:00:00,Fractionation Distillation Column Reboiler,Fractionation & Separation,58.33,natural_gas,125.71,905.1,1.0,Shift A (Morning),207.8,4.52
2026-08-28 06:00:00,High-Pressure Exothermic Reactor Vessel,Chemical Synthesis,79.93,none,0.0,731.1,1.0,Shift A (Morning),186.2,65.66
2026-08-28 06:00:00,Multistage Boiler Feedwater Injection Pump,High-Pressure Transport,52.86,none,0.0,0.0,1.0,Shift A (Morning),60.1,44.86
2026-08-28 06:00:00,Waste Heat Recovery Steam Generation Boiler,Steam Utility,21.42,natural_gas,82.75,0.0,1.0,Shift A (Morning),186.1,10.27
2026-08-28 06:00:00,Reciprocating Process Gas Compressor,Gas Compression Utility,92.44,none,0.0,0.0,1.0,Shift A (Morning),55.3,30.05
2026-08-28 06:00:00,Closed-Loop Brine Refrigeration Chiller,Thermal Cooling Utility,62.89,none,0.0,0.0,1.0,Shift A (Morning),-15.3,8.01
2026-08-28 07:00:00,Catalytic Steam Reforming Furnace,Reforming & Cracking,42.85,natural_gas,198.94,1122.2,1.0,Shift A (Morning),817.1,24.93
2026-08-28 07:00:00,Fractionation Distillation Column Reboiler,Fractionation & Separation,57.56,natural_gas,124.04,893.1,1.0,Shift A (Morning),212.1,4.44
2026-08-28 07:00:00,High-Pressure Exothermic Reactor Vessel,Chemical Synthesis,84.25,none,0.0,770.6,1.0,Shift A (Morning),187.2,63.08
